RGN,ITM_NM,UNIT_NM,C1_NM,PRD_DE,DT,남,여,인구
강원도,검거건수,건,과실범죄,2014,1102.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,과실범죄,2015,1244.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,과실범죄,2016,1283.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,과실범죄,2017,1420.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,과실범죄,2018,1584.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,과실범죄,2019,1686.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,과실범죄,2020,1408.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,과실범죄,2021,1383.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,관세법,2014,4.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,관세법,2015,2.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,관세법,2016,7.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,관세법,2017,13.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,관세법,2018,2.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,관세법,2019,1.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,관세법,2020,1.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,관세법,2021,2.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,교통방해,2014,190.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,교통방해,2015,207.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,교통방해,2016,284.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,교통방해,2017,227.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,교통방해,2018,223.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,교통방해,2019,206.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,교통방해,2020,267.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,교통방해,2021,233.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,교통사고 처리특례법,2014,18463.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,교통사고 처리특례법,2015,19310.0,781434.0,768073.0,1549507.0
